"Institution",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,"group"
"Griffith University",405426,751932,369921,490995,390496,721433,605917,1127380,1274836,1198251,1963651,1865592,2473455,2915049,3600011,4378832,7161842,9930917,13272344,13976650,10479602,10780295,"State Government"
"James Cook University",607488,750472,487181,746871,538763,441856,665740,601570,633326,731156,669491,685999,473942,303524,1531768,786104,1428377,2783276,2493995,3728036,4559786,7174429,"State Government"
"Queensland University of Technology",688147,904580,1274023,1191350,985710,1972901,1933703,2292367,1927554,2070764,3359330,4731709,3687196,5585470,6819008,8831367,11264982,11239357,11922861,12557056,14191864,18035129,"State Government"
"The University of Queensland",3356590,3750316,6354077,5183151,6422534,5226897,6087904,6232961,13527039,12494478,15102636,21398674,19284502,24720900,24378898,27484724,52462187,53295445,53886523,53339084,48940732,42518053,"State Government"
"University of Southern Queensland",193450,157955,198418,171978,782295,193151,282346,701803,472329,602422,1101941,393447,1203520,760858,1072534,1489969,2434875,1861321,899281,1177362,1266554,476963,"State Government"
"University of the Sunshine Coast",0,0,0,0,0,0,34259,85968,137463,231800,45955,177266,49966,176863,240233,490021,547875,1279793,971458,633274,933327,735974,"State Government"
"  WESTERN AUSTRALIA",,,,,,,,,,,,,,,,,,,,,,,"State Government"
"Curtin University of Technology",1180179,1249553,2349015,1740695,1560066,1368851,1690211,3921610,3196005,4205907,3990091,5519378,5640949,4709040,9597833,17357489,22666972,19921367,15244232,16076244,10164874,11349203,"State Government"
"Edith Cowan University",21889,100037,309475,498206,794447,600458,848836,741596,799557,1341348,1162931,1296911,3001436,3488258,3234970,4230019,5351823,5046464,4833141,4593842,4833675,4463768,"State Government"
"Murdoch University",1136369,1250786,1746256,1554492,1494014,1439321,1476977,1765076,2218668,2588137,2317857,3515416,4573649,6112985,4967653,5093609,5182242,4642924,4480226,5697567,3949352,2915119,"State Government"
"The University of Notre Dame Australia (member included from 2008)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66200,100177,406252,69294,42969,141547,"State Government"
