"Object ID","Object Type","Longitude","Latitude","Distance (Parsecs)","Name","Map Sector","Diameter (Parsecs)","Distance source (ADS)"
"15451","st","229.42","-3.44","822","HR 2699","4_p27.5xp28.0","0","2000MNRAS.312..753K"
"15353","st","224.73","0.35","1140","HR 2739","4_p26.5xp26.5","0","2000MNRAS.312..753K"
"15469","st","254.47","-2.02","1597","HR 3219","4_p21.5xp29.0","0","2000MNRAS.312..753K"
"15391","st","262.57","-3.36","321","HR 3359","4_p29.5xp31.0","0","2000MNRAS.312..753K"
"15405","st","265.33","-1.69","634","HR 3494","4_p27.5xp31.0","0","2000MNRAS.312..753K"
"15369","st","262.8","1.25","1003","HR 3525","4_p25.0xp30.5","0","2000MNRAS.312..753K"
"15339","st","279.41","-0.87","1288","HR 3920","4_p23.5xp33.0","0","2000MNRAS.312..753K"
"14422","st","321.2","4.2","2640","I-0038","4_p21.0xp44.5","0","5044B_lumstrs3.dat"
"14423","st","321.2","4.2","2780","I-0118","4_p20.5xp45.5","0","5044B_lumstrs3.dat"
"6957","st","134.7","0.8","2190","IC  1805   113","4_p41.5xp21.5","0","5044B_lumstrs2.dat"
"6362","st","77","0.2","1820","IRC  +40   415","4_p43.0xp34.0","0","5044B_lumstrs2.dat"
"6564","st","105.9","0.7","3470","IRC  +60   361","4_p52.5xp25.5","0","5044B_lumstrs2.dat"
"15282","st","264.93","-7.89","2433","IX Vel","4_p16.0xp30.0","0","2000MNRAS.312..753K"
"15433","st","262.06","-10.42","738","J Pup","4_p27.0xp31.0","0","2000MNRAS.312..753K"
"7418","st","238.2","-5.6","1510","JOHNSON     14","4_p23.5xp26.5","0","5044B_lumstrs2.dat"
"7302","st","206.4","-2","1510","JOHNSON     14","4_p27.5xp23.0","0","5044B_lumstrs2.dat"
"7301","st","206.4","-2","1510","JOHNSON     23","4_p27.0xp23.0","0","5044B_lumstrs2.dat"
"7400","st","235.4","-8.9","1510","JOHNSON     39","4_p23.5xp26.0","0","5044B_lumstrs2.dat"
"13982","st","289.4","1.3","2260","KOELBLOED   25","4_p18.0xp36.5","0","5044B_lumstrs3.dat"
"15356","st","266.25","-1.54","719","KX Vel","4_p27.0xp31.0","0","2000MNRAS.312..753K"
"12717","st","98.9","-5.5","4510","LENG       360","4_p60.0xp27.0","0","5044B_lumstrs3.dat"
"15318","st","264.04","-1.95","4285","LM Vel","4_p4.0xp28.5","0","2000MNRAS.312..753K"
"15407","st","264.44","-2.01","695","LN Vel","4_p27.0xp31.0","0","2000MNRAS.312..753K"
"15408","st","273.07","-1.47","537","LR Vel","4_p28.0xp31.5","0","2000MNRAS.312..753K"
"15335","st","254.13","-1.42","3851","LS 1000","4_p8.0xp25.0","0","2000MNRAS.312..753K"
"15320","st","252.4","-0.04","7851","LS 1007","4_m16.5xp16.5","0","2000MNRAS.312..753K"
"15348","st","253.64","-0.45","2190","LS 1020","4_p18.0xp27.5","0","2000MNRAS.312..753K"
"15321","st","253.77","-0.26","5889","LS 1026","4_m4.5xp21.0","0","2000MNRAS.312..753K"
"15463","st","228.7","-6.68","465","LS 104","4_p29.5xp29.5","0","2000MNRAS.312..753K"
"15343","st","254.41","-0.05","2904","LS 1041","4_p13.5xp26.5","0","2000MNRAS.312..753K"
"15358","st","248.78","6.5","3110","LS 1081","4_p13.0xp24.5","0","2000MNRAS.312..753K"
"15431","st","264.69","-0.37","1601","LS 1172","4_p21.5xp30.5","0","2000MNRAS.312..753K"
"15336","st","265.44","-0.94","2162","LS 1177","4_p17.5xp30.5","0","2000MNRAS.312..753K"
"15354","st","265.67","-0.9","1708","LS 1189","4_p20.5xp30.5","0","2000MNRAS.312..753K"
"15434","st","267.35","-1.03","1440","LS 1212","4_p22.5xp31.0","0","2000MNRAS.312..753K"
"15307","st","267.98","-1.36","1674","LS 1216","4_p21.0xp31.0","0","2000MNRAS.312..753K"
"15331","st","268.96","2.94","30058","LS 1275","4_m160.5xp28.0","0","2000MNRAS.312..753K"
"15322","st","234.3","-4.65","7158","LS 260","4_m5.5xp5.0","0","2000MNRAS.312..753K"
"15389","st","239.97","-6.44","1789","LS 311","4_p21.5xp26.0","0","2000MNRAS.312..753K"
"15364","st","235.07","-3.43","3530","LS 330","4_p13.0xp18.5","0","2000MNRAS.312..753K"
"15325","st","235.5","-2.49","3163","LS 382","4_p15.0xp20.0","0","2000MNRAS.312..753K"
"15327","st","242.44","-4.34","3851","LS 511","4_p9.5xp20.0","0","2000MNRAS.312..753K"
"15372","st","242.59","-4.16","2574","LS 534","4_p17.0xp24.0","0","2000MNRAS.312..753K"
"15285","st","229.38","4.87","49158","LS 617","4_m206.5xm172.5","0","2000MNRAS.312..753K"
"15346","st","246.67","-4.57","2641","LS 668","4_p16.0xp25.0","0","2000MNRAS.312..753K"
"15412","st","248.16","-4.54","848","LS 719","4_p26.5xp29.5","0","2000MNRAS.312..753K"
"15337","st","248.66","-1.5","2606","LS 893","4_p16.0xp25.5","0","2000MNRAS.312..753K"
"15462","st","224.71","-6.08","4433","LS 90","4_p11.5xp11.5","0","2000MNRAS.312..753K"
"15380","st","249.14","-1.59","2297","LS 905","4_p18.0xp26.5","0","2000MNRAS.312..753K"
"15366","st","250.53","-0.32","2068","LS 966","4_p19.0xp27.0","0","2000MNRAS.312..753K"
"15430","st","250.65","0.76","1866","LS 987","4_p20.0xp27.5","0","2000MNRAS.312..753K"
"15338","st","256.13","-2.87","2346","LS 990","4_p17.0xp28.0","0","2000MNRAS.312..753K"
"13124","st","141.8","-2.5","3440","LSI  +55    43","4_p45.0xp14.0","0","5044B_lumstrs3.dat"
"6921","st","134.3","-4","2290","LSI  +56    40","4_p42.0xp21.5","0","5044B_lumstrs2.dat"
"13141","st","146","2.4","9510","LSI  +56    92","4_p65.5xm19.0","0","5044B_lumstrs3.dat"
"13110","st","139.6","-1.2","5400","LSI  +57   114","4_p54.0xp5.0","0","5044B_lumstrs3.dat"
"12823","st","113.9","-1.6","5130","LSI  +59    10","4_p61.5xp18.0","0","5044B_lumstrs3.dat"
"12825","st","114.1","-1.6","2220","LSI  +59    11","4_p44.5xp25.5","0","5044B_lumstrs3.dat"
"12996","st","128.2","-3","1950","LSI  +59    77","4_p41.5xp24.0","0","5044B_lumstrs3.dat"
"12999","st","128.3","-2.3","2490","LSI  +59    81","4_p44.0xp21.5","0","5044B_lumstrs3.dat"
"13006","st","128.8","-2.5","3360","LSI  +59    84","4_p48.0xp18.0","0","5044B_lumstrs3.dat"
"13010","st","128.9","-2.5","2190","LSI  +59    85","4_p42.5xp22.5","0","5044B_lumstrs3.dat"
"6870","st","131.4","-2.4","2290","LSI  +59   100","4_p42.5xp22.0","0","5044B_lumstrs2.dat"
"6869","st","131.3","-2","2290","LSI  +59   101","4_p42.5xp22.0","0","5044B_lumstrs2.dat"
"7072","st","137.4","-0.2","2190","LSI  +59   153","4_p41.0xp21.0","0","5044B_lumstrs2.dat"
"7082","st","138.2","0.1","2190","LSI  +59   154","4_p41.0xp21.0","0","5044B_lumstrs2.dat"
"13122","st","141.4","3","7180","LSI  +59   186","4_p60.0xm4.5","0","5044B_lumstrs3.dat"
"13136","st","144.7","4.9","4470","LSI  +59   195","4_p48.0xp8.0","0","5044B_lumstrs3.dat"
"6654","st","113.1","-0.3","2630","LSI  +60     5","4_p47.0xp25.0","0","5044B_lumstrs2.dat"
"12821","st","113.4","-0.6","10420","LSI  +60     6","4_p92.5xp5.0","0","5044B_lumstrs3.dat"
"6659","st","113.5","-0.8","2630","LSI  +60     8","4_p47.0xp25.0","0","5044B_lumstrs2.dat"
"6660","st","113.7","-0.4","2630","LSI  +60    10","4_p47.0xp24.5","0","5044B_lumstrs2.dat"
"12832","st","115","-0.6","4550","LSI  +60    25","4_p58.0xp19.0","0","5044B_lumstrs3.dat"
"6664","st","115","-0.9","2510","LSI  +60    26","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12773","st","109","1.6","1740","LSI  +60    28","4_p42.0xp28.0","0","5044B_lumstrs3.dat"
"6671","st","115.2","-1.2","2510","LSI  +60    31","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12838","st","115.3","-0.8","4570","LSI  +60    33","4_p58.0xp19.0","0","5044B_lumstrs3.dat"
"12839","st","115.4","-0.7","4000","LSI  +60    34","4_p54.5xp20.5","0","5044B_lumstrs3.dat"
"6676","st","115.5","-0.9","2510","LSI  +60    36","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6677","st","115.5","-1.1","2510","LSI  +60    39","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6683","st","115.8","-1.6","2510","LSI  +60    50","4_p45.5xp24.5","0","5044B_lumstrs2.dat"
"6698","st","116.3","-1.2","2510","LSI  +60    60","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6699","st","116.3","-1.7","2510","LSI  +60    62","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6706","st","117.1","-1.2","2510","LSI  +60    72","4_p46.0xp24.0","0","5044B_lumstrs2.dat"
"12874","st","117.2","-1.8","7180","LSI  +60    79","4_p72.5xp10.5","0","5044B_lumstrs3.dat"
"6708","st","117.2","-1.8","2510","LSI  +60    81","4_p46.0xp24.0","0","5044B_lumstrs2.dat"
"12881","st","117.5","-2.1","11070","LSI  +60    87","4_p94.5xm1.0","0","5044B_lumstrs3.dat"
"6839","st","129.2","-1.2","2880","LSI  +60   173","4_p46.0xp20.0","0","5044B_lumstrs2.dat"
"13015","st","129.3","-1.7","5060","LSI  +60   176","4_p56.5xp11.0","0","5044B_lumstrs3.dat"
"13019","st","129.4","-1.6","1530","LSI  +60   177","4_p39.0xp25.5","0","5044B_lumstrs3.dat"
"6849","st","129.7","-1.3","2880","LSI  +60   192","4_p45.5xp19.5","0","5044B_lumstrs2.dat"
"6853","st","130.3","-1","2880","LSI  +60   198","4_p45.5xp19.5","0","5044B_lumstrs2.dat"
"13056","st","131.1","-1.2","1160","LSI  +60   209","4_p37.0xp26.5","0","5044B_lumstrs3.dat"
"13092","st","136.1","1.1","8280","LSI  +60   257","4_p68.0xm6.5","0","5044B_lumstrs3.dat"
"6663","st","114.9","-0.4","2510","LSI  +61    28","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6648","st","112.8","1","2630","LSI  +61    32","4_p47.5xp25.0","0","5044B_lumstrs2.dat"
"6669","st","115.2","0.3","2510","LSI  +61    33","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12835","st","115.2","0.1","2160","LSI  +61    34","4_p44.0xp25.5","0","5044B_lumstrs3.dat"
"12834","st","115.2","0.3","4040","LSI  +61    35","4_p55.0xp20.5","0","5044B_lumstrs3.dat"
"6668","st","115.1","-0.4","2510","LSI  +61    37","4_p46.0xp25.0","0","5044B_lumstrs2.dat"
"6670","st","115.2","0.1","2510","LSI  +61    38","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"12837","st","115.3","0.3","4290","LSI  +61    42","4_p56.5xp20.0","0","5044B_lumstrs3.dat"
"12848","st","116","-0.6","8130","LSI  +61    82","4_p78.5xp8.5","0","5044B_lumstrs3.dat"
"6694","st","116.2","-0.4","2510","LSI  +61    92","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
"6700","st","116.4","-0.1","2510","LSI  +61    98","4_p45.5xp24.5","0","5044B_lumstrs2.dat"
"6702","st","116.5","-0.8","2510","LSI  +61   106","4_p46.0xp24.5","0","5044B_lumstrs2.dat"
